stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
13,1244,"FOURTH AVE + VANSICKLE RD",,43.155388,-79.270948,,,,,,0
14,1245,"FOURTH AVE + SMART CTR",,43.155477,-79.268207,,,,,,0
15,1246,"MARTINDALE RD + RIDLEY PLAZA",,43.156335,-79.265187,,,,,,0
16,7,"MARTINDALE RD + ELDERWOOD DR",,43.158472,-79.265242,,,,,,0
17,8,"MARTINDALE RD + FAWELL AVE",,43.163455,-79.266610,,,,,,0
18,9,"GRAPEVIEW DR + MARTINDALE RD",,43.165252,-79.268643,,,,,,0
19,10,"GRAPEVIEW DR + VANSICKLE RD N",,43.164433,-79.270885,,,,,,0
20,11,"GRAPEVIEW DR + STONEY BROOK CRES",,43.163303,-79.273985,,,,,,0
21,12,"GRAPEVIEW DR + FIRST ST LOUTH",,43.162493,-79.276250,,,,,,0
22,13,"FIRST ST LOUTH + GRAPEVIEW SCHOOL",,43.164330,-79.276552,,,,,,0
23,14,"FIRST ST LOUTH + ENDICOTT DR",,43.166475,-79.276598,,,,,,0
24,15,"FIRST ST LOUTH + HUNTINGTON LANE",,43.169518,-79.276678,,,,,,0
25,16,"FIRST ST LOUTH + ERION RD",,43.171705,-79.276750,,,,,,0
26,17,"ERION RD + HUNTINGTON SQUARE",,43.172078,-79.274318,,,,,,0
27,18,"MARTINDALE RD + HANNOVER DR",,43.173635,-79.273920,,,,,,0
28,19,"MARTINDALE RD + CORPORATE PARK DR",,43.176115,-79.275240,,,,,,0
29,20,"MARTINDALE RD + BROOKLYN CT",,43.180455,-79.277720,,,,,,0
30,21,"370 MARTINDALE RD",,43.182488,-79.278992,,,,,,0
31,22,"MARTINDALE RD + GOLDEN BLVD",,43.184420,-79.280772,,,,,,0
32,23,"MARTINDALE RD + DALEMERE BLVD",,43.188752,-79.286048,,,,,,0
33,24,"MARTINDALE RD + MAIN ST",,43.190262,-79.286542,,,,,,0
37,28,"MAIN ST + HENLEY ISLAND DR",,43.193767,-79.280405,,,,,,0
38,29,"CORBETT AV + MAIN ST",,43.195148,-79.278912,,,,,,0
39,30,"CORBETT AV + BAYVIEW DR",,43.196523,-79.280517,,,,,,0
40,31,"BAYVIEW DR + SHELLEY AVE",,43.197413,-79.279340,,,,,,0
41,32,"BAYVIEW DR + JOHNSTON ST",,43.198137,-79.278237,,,,,,0
42,33,"JOHNSTON ST + MAIN ST",,43.196793,-79.276385,,,,,,0
43,34,"MAIN ST + CHRISTIE ST",,43.197668,-79.274477,,,,,,0
44,35,"MAIN ST + ELGIN ST",,43.198805,-79.272745,,,,,,0
45,36,"MAIN ST + ANN ST",,43.199727,-79.271313,,,,,,0
46,37,"MAIN ST + BROCK ST",,43.200895,-79.269550,,,,,,0
47,38,"MAIN ST + SIMCOE ST",,43.201785,-79.268152,,,,,,0
48,39,"MAIN ST + LOCK ST",,43.202563,-79.266975,,,,,,0
49,40,"LAKEPORT RD + RENNIE PARK",,43.200967,-79.265878,,,,,,0
50,41,"88 LAKEPORT RD",,43.197477,-79.262620,,,,,,0
51,42,"LAKEPORT RD + EMBASSY AV",,43.196373,-79.260887,,,,,,0
52,43,"LAKESHORE RD + LAKEPORT RD",,43.196540,-79.259775,,,,,,0
53,132,"LAKESHORE RD + LAKEPORT RD",,43.197048,-79.259910,,,,,,0
54,44,"LAKEPORT RD + LAKESHORE RD",,43.196477,-79.260983,,,,,,0
55,45,"LAKEPORT RD + MICHIGAN AVE",,43.197947,-79.263272,,,,,,0
56,46,"LAKEPORT RD + LOCK ST",,43.201165,-79.265790,,,,,,0
57,47,"LOCK ST + MAIN ST",,43.202572,-79.266688,,,,,,0
58,48,"MAIN ST + SIMCOE ST",,43.201762,-79.268287,,,,,,0
59,49,"MAIN ST + BROCK ST",,43.200847,-79.269685,,,,,,0
60,50,"MAIN ST + ANN ST",,43.199980,-79.270997,,,,,,0
61,51,"MAIN ST + ELGIN ST",,43.198955,-79.272585,,,,,,0
62,52,"MAIN ST + CHRISTIE ST",,43.197898,-79.274207,,,,,,0
63,53,"JOHNSTON ST + MAIN ST",,43.196833,-79.276463,,,,,,0
64,54,"JOHNSTON ST + BAYVIEW DR",,43.198168,-79.278062,,,,,,0
66,56,"BAYVIEW DR + CORBETT AV",,43.196825,-79.280327,,,,,,0
68,58,"CORBETT AV + MAIN ST",,43.195030,-79.278880,,,,,,0
69,59,"MAIN ST + ST ANN SCHOOL",,43.193655,-79.280723,,,,,,0
70,60,"MAIN ST + COLE FARM BLVD",,43.191715,-79.283720,,,,,,0
71,61,"MARTINDALE RD + MAIN ST",,43.190262,-79.286692,,,,,,0
73,63,"MARTINDALE RD + GOLDEN BLVD",,43.184380,-79.280898,,,,,,0
74,1247,"357 MARTINDALE RD",,43.182513,-79.279095,,,,,,0
